searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
Осимантус	1	True	османтус	0	4
5699	307	False	5699	0	0
Пятновыводитель	657	False	Пятновыводитель	3	3
167W3202	46	False	167W3202	1	1
199235	4	False	199235	1	1
1080	515	False	1080	1	1
1870	652	False	1870	0	0
2442	275	False	2442	0	0
600166	611	False	600166	0	0
ые236	2	True	st236	0	1
0726	807	False	0726	0	0
11660	20	False	11660	0	0
0112	984	False	0112	1	1
191180	3	False	191180	1	1
Тоник	303	False	Тоник	8	8
Ирис	25	False	Ирис	5	5
195634	45	False	195634	0	0
2126	252	False	2126	1	1
8397	475	False	8397	0	0
195798	13	False	195798	1	1
5462	378	False	5462	1	1
11129	289	False	11129	1	1
40062	541	False	40062	1	1
11048	1173	False	11048	1	1
дифуз	2	False	дифуз	0	0
Зима крем	8	False	Зима крем	0	0
Юбка 146w3308	1	False	Юбка 146w3308	0	0
3048	365	False	3048	1	1
3167	133	False	3167	1	1
8436	129	False	8436	1	1
Бритвенные станки	11	False	Бритвенные станки	0	0
Детские	4	False	Детские	20	20
600335	7	False	600335	0	0
Обратная связь	72	False	Обратная связь	0	0
Для унитаза	21	False	Для унитаза	0	0
304204	2	False	304204	0	0
паста	146	False	паста	18	18
5692	209	False	5692	0	0
5543	496	False	5543	0	0
8341	259	False	8341	1	1
4618	77	False	4618	1	1
Водолазка	475	False	Водолазка	19	19
6315	714	False	6315	0	0
Мыло	1429	False	Мыло	19	19
1075	414	False	1075	1	1
2096	1067	False	2096	1	1
1647	122	False	1647	1	1
Пётр	3	False	Пётр	0	0
11259	864	False	11259	1	1
34129	74	False	34129	0	0
11185	187	False	11185	0	0
11152	1235	False	11152	1	1
3179	155	False	3179	0	0
гель	311	False	гель	17	17
8734	398	False	8734	0	0
Sw087	12	False	Sw087	1	1
3020	470	False	3020	1	1
1215	418	False	1215	1	1
40296	198	False	40296	1	1
11288	646	False	11288	0	0
набор трафаретов	1	False	набор трафаретов	1	1
Леггинсы	85	False	Леггинсы	8	8
7356	125	False	7356	1	1
Паспорт	2	False	Паспорт	0	0
11303	549	False	11303	0	0
600167	274	False	600167	0	0
8845	997	False	8845	0	0
40077	234	False	40077	1	1
9551	154	False	9551	0	0
8713	9	False	8713	0	0
1695	212	False	1695	1	1
Набор	970	False	Набор	19	19
40075	152	False	40075	1	1
8596	207	False	8596	1	1
2251	70	False	2251	0	0
SSW028	56	False	SSW028	1	1
43037	312	False	43037	1	1
1661	1341	False	1661	1	1
карандаш для глаз	116	False	карандаш для глаз	1	1
11194	1170	False	11194	1	1
11526	1531	False	11526	0	0
8677	337	False	8677	0	0
40089	272	False	40089	1	1
8527	114	False	8527	0	0
6310	761	False	6310	0	0
0791	212	False	0791	1	1
1633	434	False	1633	0	0
8636	22	False	8636	0	0
81805	22	False	81805	0	0
флаконы	6	False	флаконы	0	0
пудра	608	False	пудра	10	10
2388	254	False	2388	1	1
83023	2	False	83023	0	0
Зима	63	False	Зима	6	6
Носки	571	False	Носки	19	19
3610	506	False	3610	1	1
3003	144	False	3003	1	1
4783	100	False	4783	1	1
6264	183	False	6264	1	1
Пена для ванны	84	False	Пена для ванны	12	12
40270	9	False	40270	0	0
Вспениватель	50	False	Вспениватель	0	0
1829	263	False	1829	0	0
0545	451	False	0545	1	1
82637	12	False	82637	1	1
8968	775	False	8968	0	0
0264	592	False	0264	0	0
Купальник	176	False	Купальник	17	17
11240	387	False	11240	0	0
5665	144	False	5665	0	0
44107	1027	False	44107	1	1
крем для рук	619	False	крем для рук	14	14
11296	262	False	11296	0	0
1659	826	False	1659	1	1
0535	334	False	0535	1	1
11213	1192	False	11213	0	0
157w4131	10	False	157w4131	1	1
11176	202	False	11176	1	1
Пробники	355	False	Пробники	0	0
11328	813	False	11328	1	1
0238	229	False	0238	1	1
5527	322	False	5527	0	0
8315	209	False	8315	0	0
Под глазами	7	False	Под глазами	1	1
Для духовок и плит	11	False	Для духовок и плит	0	0
Garderica	43	False	Garderica	8	8
si801	12	False	si801	1	1
подарочные наборы	117	False	подарочные наборы	0	0
краска для волос	939	False	краска для волос	6	6
0787	305	False	0787	1	1
521212	3	False	521212	0	0
43073	110	False	43073	1	1
3206	327	False	3206	1	1
88720	22	False	88720	1	1
381710	6	False	381710	1	1
500949	10	False	500949	0	0
перчатк	5	True	перчатки	20	18
Османтус	27	False	Османтус	4	4
15464	84	False	15464	1	1
11098	335	False	11098	1	1
PS151	14	False	PS151	1	1
Как Платить	1	False	Как Платить	0	0
8387	143	False	8387	0	0
0773	676	False	0773	0	0
800077	10	False	800077	0	0
Платье	740	False	Платье	19	19
8554	467	False	8554	0	0
Антибактериальное	23	False	Антибактериальное	1	1
195120	17	False	195120	0	0
Крем для рук	414	False	Крем для рук	14	14
5563	929	False	5563	0	0
лубрикант	137	False	лубрикант	0	0
акция парашков	3	False	акция парашков	0	0
неглиже	88	False	неглиже	4	4
2354	339	False	2354	1	1
8379	371	False	8379	1	1
2423	208	False	2423	0	0
зубная щетка	359	False	зубная щетка	10	10
блеск	68	False	блеск	6	6
alatau	100	False	alatau	1	1
2136	516	False	2136	1	1
тени	724	False	тени	7	7
890549	5	False	890549	1	1
1078	457	False	1078	1	1
40084	354	False	40084	1	1
набор	1410	False	набор	19	19
косметичка мужская	8	False	косметичка мужская	0	0
st 601	1	False	st 601	11	11
600016	147	False	600016	0	0
1669	393	False	1669	1	1
83918	6	False	83918	1	1
1676	275	False	1676	1	1
шорты	148	False	шорты	19	19
st418	34	False	st418	1	1
СС крем	17	False	СС крем	14	14
7566	255	False	7566	1	1
балконет	58	False	балконет	18	18
Купон	38	False	Купон	0	0
8622	828	False	8622	0	0
каталог 03	12	False	каталог 03	0	0
8727	173	False	8727	0	0
8440	190	False	8440	0	0
740010	1	False	740010	0	0
90103	127	False	90103	0	0
2293	521	False	2293	1	1
42057/к4586	3	False	42057/к4586	0	0
Морозная клюква	266	False	Морозная клюква	3	3
11193	1897	False	11193	1	1
3149	478	False	3149	0	0
дезодорант	582	False	дезодорант	19	19
трус	6	True	трусы	20	19
8121	148	False	8121	0	0
11060	552	False	11060	1	1
11136	1019	False	11136	0	0
11588	104	False	11588	0	0
жидкость для снятия	35	False	жидкость для снятия	0	0
жидкое мыло	784	False	жидкое мыло	14	14
1632	130	False	1632	0	0
Порошок	1178	False	Порошок	13	13
крем -масло для ног	1	True	крем-масло для ног	0	7
3233	265	False	3233	1	1
ложка	63	False	ложка	2	2
0259	563	False	0259	1	1
8342	156	False	8342	1	1
0883	351	False	0883	1	1
8264	220	False	8264	1	1
2094	686	False	2094	1	1
3166	246	False	3166	0	0
156W2603	417	False	156W2603	1	1
8759	49	False	8759	0	0
chelsea	5	False	chelsea	1	1
6182	467	False	6182	1	1
стойкий поцелуй	63	False	стойкий поцелуй	0	0
11222	257	False	11222	1	1
1866	532	False	1866	1	1
Beauty	52	False	Beauty	9	9
2236	965	False	2236	1	1
43043	89	False	43043	0	0
0886	1143	False	0886	1	1
Гель для бровей	204	False	Гель для бровей	0	0
1674	331	False	1674	1	1
0119	466	False	0119	1	1
зубная паста	849	False	зубная паста	18	18
0526	763	False	0526	1	1
8330	98	False	8330	1	1
2378	451	False	2378	0	0
11199	39	False	11199	0	0
7258	135	False	7258	0	0
192055	16	False	192055	1	1
11197	1148	False	11197	1	1
11217	1767	False	11217	1	1
подарок по 2 катало	3	False	подарок по 2 катало	0	0
Солнцезащитный крем	14	False	Солнцезащитный крем	0	0
щетка	357	False	щетка	12	12
8262	595	False	8262	1	1
9776	185	False	9776	1	1
Сияние в цвете	21	False	Сияние в цвете	1	1
40132	57	False	40132	2	2
9745	91	False	9745	0	0
Для ванны	35	False	Для ванны	12	12
41022	105	False	41022	0	0
11599	75	False	11599	0	0
Куртка	346	False	Куртка	19	19
156w2603	769	False	156w2603	1	1
Шорты	166	False	Шорты	19	19
5566	76	False	5566	0	0
помада роза	1	True	помада rose	0	0
нож	338	False	нож	11	11
0790	472	False	0790	1	1
4279	1	False	4279	0	0
Si 15мл	2	False	Si 15мл	0	0
8890	433	False	8890	1	1
11204	1046	False	11204	0	0
500088	12	False	500088	0	0
оплатить заказ	13	False	оплатить заказ	0	0
11133	144	False	11133	0	0
11525	1754	False	11525	0	0
40073	497	False	40073	1	1
Слипоны	32	False	Слипоны	7	7
11536	965	False	11536	1	1
Эпиляция	4	False	Эпиляция	0	0
15623	195	False	15623	1	1
Косметичка	467	False	Косметичка	7	7
лак для волос	73	False	лак для волос	12	12
5576	1268	False	5576	1	1
0811	480	False	0811	1	1
Тени	724	False	Тени	7	7
0311	268	False	0311	1	1
11063	51	False	11063	0	0
11289	532	False	11289	0	0
500079	29	False	500079	0	0
5081	338	False	5081	0	0
41034	128	False	41034	1	1
147g4202	3	False	147g4202	0	0
112161	66	False	112161	0	0
варежка	31	False	варежка	1	1
800486	1	False	800486	1	1
890745	3	False	890745	0	0
legen	2	True	legend	5	4
9227	208	False	9227	0	0
шампунь с протыиноь	1	False	шампунь с протыиноь	0	0
kw002	11	False	kw002	1	1
0725	570	False	0725	1	1
195227	13	False	195227	1	1
0520	530	False	0520	0	0
2195	174	False	2195	0	0
4577	455	False	4577	1	1
191865	47	False	191865	1	1
5245	58	False	5245	1	1
0274	377	False	0274	1	1
11513	39	False	11513	0	0
1645	354	False	1645	1	1
7538	157	False	7538	1	1
0814	428	False	0814	1	1
гель для умывания	175	False	гель для умывания	3	3
117W3202	87	False	117W3202	2	2
блузка	173	False	блузка	19	19
137W2102	71	False	137W2102	1	1
194023	16	False	194023	0	0
Зажим для порошка	2	False	Зажим для порошка	0	0
Блакнот	9	False	Блакнот	0	0
500080	7	False	500080	1	1
туалетная вода	146	False	туалетная вода	19	19
Помада	754	False	Помада	15	15
8939	43	False	8939	0	0
11327	685	False	11327	1	1
SI803	25	False	SI803	1	1
Малавтилин	244	False	Малавтилин	0	0
6309	587	False	6309	0	0
цвет и объем	5	False	цвет и объем	0	0
маечка	43	False	маечка	19	19
1818	282	False	1818	1	1
100265	25	False	100265	0	0
2201	55	False	2201	18	18
1214	273	False	1214	1	1
15463	118	False	15463	0	0
6128	247	False	6128	0	0
11035	322	False	11035	0	0
плед	148	False	плед	1	1
трусы-танга	4	False	трусы-танга	15	15
2298	50	False	2298	0	0
dolce vita крем для	3	False	dolce vita крем для	0	0
6308	787	False	6308	0	0
82159	21	False	82159	0	0
гель для укладки	5	False	гель для укладки	0	0
127m2503	1	False	127m2503	0	0
500282	2	False	500282	1	1
500794	8	False	500794	1	1
8362	323	False	8362	0	0
11192	1567	False	11192	1	1
11366	150	False	11366	1	1
192937	10	False	192937	1	1
Крем	224	False	Крем	14	14
18040	99	False	18040	0	0
146w3202	85	False	146w3202	0	0
40003	239	False	40003	1	1
5472	437	False	5472	1	1
Скраб	553	False	Скраб	12	12
8736	551	False	8736	0	0
157W1204	30	False	157W1204	0	0
сыворотка	441	False	сыворотка	18	18
3467	131	False	3467	1	1
Туфли	165	False	Туфли	18	18
8678	267	False	8678	0	0
Для глаз	53	False	Для глаз	10	10
039w4110	79	False	039w4110	1	1
78352	149	False	78352	1	1
масло	201	False	масло	16	16
8959	514	False	8959	0	0
черный ваниль	2	True	черный vanilla	0	0
2983	218	False	2983	1	1
косметичка	577	False	косметичка	7	7
1062	694	False	1062	1	1
гаммаж	17	True	гоммаж	0	1
3231	373	False	3231	0	0
8667	367	False	8667	0	0
890468	36	False	890468	0	0
11337	112	False	11337	1	1
Expert	158	False	Expert	19	19
фитосыворотка	23	False	фитосыворотка	4	4
117M3202	34	False	117M3202	3	3
майка	389	False	майка	19	19
11274	225	False	11274	0	0
щётки латексные зуб	3	False	щётки латексные зуб	0	0
BW122	9	False	BW122	0	0
3472	266	False	3472	0	0
гель для бритья	67	False	гель для бритья	5	5
3045	214	False	3045	0	0
3604	342	False	3604	1	1
030W2901	4	False	030W2901	0	0
4597	121	False	4597	1	1
8172	111	False	8172	0	0
11206	897	False	11206	0	0
192384	6	False	192384	1	1
1670	256	False	1670	1	1
77520	336	False	77520	0	0
5220	323	False	5220	0	0
456701	3	False	456701	1	1
3129	503	False	3129	1	1
111149	2	False	111149	0	0
0333	206	False	0333	1	1
быстрый старт	19	True	быстрый start	0	0
happiness	537	False	happiness	1	1
0297	348	False	0297	0	0
40081	146	False	40081	1	1
191981	11	False	191981	1	1
8960	288	False	8960	0	0
11471	16	False	11471	0	0
Подарочные наборы	63	False	Подарочные наборы	0	0
2417	245	False	2417	1	1
0548	169	False	0548	0	0
календарь карманный	42	False	календарь карманный	2	2
3016	213	False	3016	0	0
44001	253	False	44001	1	1
Балконет	71	False	Балконет	18	18
1626	161	False	1626	1	1
станок	144	False	станок	0	0
11044	121	False	11044	1	1
0273	225	False	0273	1	1
phyto	1	False	phyto	1	1
Аромат 15 мл	1	False	Аромат 15 мл	18	18
9735	11	False	9735	1	1
11218	1522	False	11218	1	1
11329	923	False	11329	1	1
Сыворотка	292	False	Сыворотка	18	18
40080	284	False	40080	1	1
34152	221	False	34152	0	0
Хайлайтер	191	False	Хайлайтер	0	0
салфетки	1328	False	салфетки	19	19
3051	327	False	3051	1	1
1820	628	False	1820	0	0
5404	384	False	5404	0	0
820303	75	False	820303	0	0
3018	200	False	3018	0	0
6116	50	False	6116	1	1
6102	6	False	6102	0	0
0713	476	False	0713	0	0
11037	615	False	11037	1	1
157W1220	22	False	157W1220	1	1
5598	524	False	5598	0	0
8974	75	False	8974	0	0
Пробник порошк	2	True	пробник порошок	0	0
11428	66	False	11428	0	0
диффузор	101	False	диффузор	1	1
1625	164	False	1625	1	1
146w4114	285	False	146w4114	0	0
1045	26	False	1045	0	0
11212	1094	False	11212	0	0
192052	14	False	192052	1	1
3499	191	False	3499	0	0
1684	166	False	1684	1	1
127B1101	16	False	127B1101	2	2
2338	60	False	2338	0	0
0258	1021	False	0258	1	1
34111	79	False	34111	1	1
бронзер	45	False	бронзер	0	0
168w4105	19	False	168w4105	1	1
Мама	32	False	Мама	1	1
распродажа	246	False	распродажа	1	1
uviolet	28	False	uviolet	1	1
8270	141	False	8270	1	1
0255	397	False	0255	0	0
84009	10	False	84009	0	0
Тюрбан	19	False	Тюрбан	0	0
пятно	32	False	пятно	3	3
термобелье женское	4	False	термобелье женское	3	3
11429	51	False	11429	0	0
8390	453	False	8390	0	0
500052	12	False	500052	0	0
11233	853	False	11233	1	1
SC006	8	False	SC006	0	0
111213	1	False	111213	0	0
Alatay	17	False	Alatay	0	0
311500	32	False	311500	1	1
8647	679	False	8647	1	1
помада 43030	2	False	помада 43030	0	0
98123	5	False	98123	0	0
Духи pont d'or	1	False	Духи pont d'or	0	0
34104	215	False	34104	1	1
3240	179	False	3240	1	1
Духи мама	2	False	Духи мама	0	0
4617	55	False	4617	1	1
1817	336	False	1817	0	0
защитный	6	False	защитный	9	9
86905	3	False	86905	1	1
34125	622	False	34125	0	0
бальзам для рук	31	False	бальзам для рук	16	16
1672	154	False	1672	0	0
1664	12	False	1664	0	0
136G3101	44	False	136G3101	1	1
Кондиционер	322	False	Кондиционер	17	17
Корректор для лица	8	False	Корректор для лица	6	6
SSW029	31	False	SSW029	1	1
0219	749	False	0219	1	1
146W03308	6	False	146W03308	0	0
eatless	4	False	eatless	1	1
11174	451	False	11174	1	1
2204	553	False	2204	0	0
термозащита для вол	1	False	термозащита для вол	0	0
6148	80	False	6148	1	1
Кофты	13	False	Кофты	0	0
60357	4	False	60357	1	1
117B2902	55	False	117B2902	4	4
Распродажа 50%	1	False	Распродажа 50%	1	1
45008	33	False	45008	0	0
60384	1	False	60384	1	1
Мои заказы	373	False	Мои заказы	0	0
Щётка	55	False	Щётка	6	6
3229	115	False	3229	0	0
8228	714	False	8228	1	1
0764	303	False	0764	0	0
156w4101	38	False	156w4101	1	1
набор 249р	2	False	набор 249р	0	0
1813	2	False	1813	0	0
127w4104	8	False	127w4104	1	1
каталог на февраль	4	False	каталог на февраль	0	0
5217	411	False	5217	0	0
Blur	67	False	Blur	1	1
136w4101	41	False	136w4101	1	1
501061	3	False	501061	1	1
11527	4	False	11527	0	0
Накопить баллы	1	False	Накопить баллы	0	0
5128	5	False	5128	0	0
500273	4	False	500273	0	0
Оттеночный шампунь	54	False	Оттеночный шампунь	0	0
платье	494	False	платье	19	19
8728	586	False	8728	1	1
пилинг	265	False	пилинг	4	4
40059	310	False	40059	1	1
Бюстгальтер 75а	2	False	Бюстгальтер 75а	17	17
8462	158	False	8462	0	0
терка	71	False	терка	0	0
11699	51	False	11699	0	0
Подушка	299	False	Подушка	5	5
9141	373	False	9141	1	1
4641	174	False	4641	0	0
600074	27	False	600074	0	0
кольцо	166	False	кольцо	19	19
1841	430	False	1841	0	0
191317	2	False	191317	1	1
Fortunata	29	False	Fortunata	2	2
2441	479	False	2441	1	1
8410	135	False	8410	0	0
лак	263	False	лак	11	11
9748	291	False	9748	1	1
146W3308	117	False	146W3308	0	0
порошок	1156	False	порошок	13	13
зубная нить	77	False	зубная нить	1	1
